Código;Classificação;Descrição da conta;Saldo Anterior;Débito;Crédito;Saldo Atual
74431;1.1.20.100.1;ASSOCIACAO EDUCACIONAL E CARITATIVA;4.726,21D;1.949,44;1.769,43;4.906,22D
74432;1.1.20.100.1;ASSOCIACAO HOSPITAL DE CARIDADE DE SANTO ANGELO;2.995,57D;1.348,56;0,00;4.344,13D
74433;1.1.20.100.1;ASSOCIACAO HOSPITALAR BENEFICENTE SANTO ANTONIO;6.168,77D;1.684,96;1.684,96;6.168,77D
74386;1.1.20.100.1;ASSOCIACAO HOSPITALAR BENEFICENTE SAO VICENTE DE;1.670,00D;0,00;0,00;1.670,00D
74434;1.1.20.100.1;ASSOCIACAO HOSPITALAR CARIDADE SANTA ROSA;13.183,63D;0,00;0,00;13.183,63D
63720;1.1.20.100.1;ASSOCIACAO HOSPITALAR VILA NOVA;5.278,98D;2.419,15;0,00;7.698,13D
74435;1.1.20.100.1;ASSOCIACAO HOSPITALAR VILA NOVA - FL;852,18D;897,84;0,00;1.750,02D
75442;1.1.20.100.1;ASSOCIACAO PELOTENSE DE ASSISTENCIA E CU;0,00;4.569,32;4.569,32;0,00
74549;1.1.20.100.1;ASSOCIACAO SAUDE EM MOVIMENTO - ASM;16.104,61D;0,00;0,00;16.104,61D
74436;1.1.20.100.1;BECKMAN COULTER DO BRASIL COMERCIO E IMPORTACAO;7.542,85D;1.375,81;1.375,81;7.542,85D
74437;1.1.20.100.1;BECTON DICKSON INDUSTRIAS CIRURGICAS LTDA;0,00;2.586,42;2.586,42;0,00
74438;1.1.20.100.1;BIOCLINICA LTDA;2.628,01D;5.785,35;853,53;7.559,83D
74439;1.1.20.100.1;BIOMERIEUX BRASIL INDUSTRIA E COMERCIO DE PRODUTOS;142,85D;0,00;0,00;142,85D
74440;1.1.20.100.1;BLUT´S CENTRO DE DIAGNOSTICOS E SERVICOS VETERINA;1.300,80D;0,00;0,00;1.300,80D
74589;1.1.20.100.1;BRINGEL MEDICAL DISTRIBUIDORA DE MEDICAMENTOS;20.074,39D;0,00;0,00;20.074,39D
74441;1.1.20.100.1;CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE;3.769,32D;0,00;0,00;3.769,32D
74442;1.1.20.100.1;CASA DE CARIDADE DOM ORIONE;9.863,20D;4.538,31;4.538,32;9.863,19D
74351;1.1.20.100.1;CDA CENTRO DE DIAGNOSTICOS AVANCADOS LTDA;300,00D;0,00;0,00;300,00D
75316;1.1.20.100.1;CELER BIOTECNOLOGIA S/A;0,00;6.194,10;6.194,10;0,00
74498;1.1.20.100.1;CENTRAL LAB DISTRIBUIDORA DE PRODUTOS PARA SAUDE;0,00;623,75;0,00;623,75D
74443;1.1.20.100.1;CLINICA VITAE LTDA;2.036,82D;1.402,42;1.402,42;2.036,82D
74444;1.1.20.100.1;CONFERENCIA SAO JOSE DO AVAI;5.643,54D;1.779,04;1.779,04;5.643,54D
74352;1.1.20.100.1;CQC - TECNOLOGIA EM SISTEMAS DIAGNOSTICOSLTDA;3.801,70D;1.647,79;0,00;5.449,49D
74390;1.1.20.100.1;DB APOIO INTEGRAL - GESTAO DE PARTICIPACOES E ADMI;6.480,00D;7.789,55;3.754,00;10.515,55D
74445;1.1.20.100.1;DIA SORIN X JOINVILLE;433,32D;0,00;0,00;433,32D
75600;1.1.20.100.1;DIAGNOLAB LABORATORIOS LTDA;708,00D;533,96;533,95;708,01D
74354;1.1.20.100.1;DIAGNOSTICOS DA AMERICA SA;599,99D;299,88;299,88;599,99D
74446;1.1.20.100.1;FLEURY S.A;0,00;278,29;278,29;0,00
74448;1.1.20.100.1;FUNDACAO ASSISTENCIAL E BENEFICENTE DE CAMAQUA;2.329,34D;1.183,94;0,00;3.513,28D
74449;1.1.20.100.1;FUNDACAO DE SAUDE SAPUCAIA DO SUL;27.934,04D;0,00;0,00;27.934,04D
74450;1.1.20.100.1;FUNDACAO DOUTOR AMARAL CARVALHO;13.420,41D;3.900,47;3.900,48;13.420,40D
74452;1.1.20.100.1;FUNDACAO EDUCACIONAL ALTO MEDIO SAO FRANCISCO;1.792,68D;0,00;0,00;1.792,68D
74453;1.1.20.100.1;FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL;4.365,91D;1.497,06;1.497,05;4.365,92D
74454;1.1.20.100.1;FUNDACAO VALE DO TAQUARI DE EDUCACAO E DESENVOL;7.898,16D;0,00;0,00;7.898,16D
74455;1.1.20.100.1;GENETICA COMERCIO IMPORTACAO E EXPORTACAO LTDA;8.800,01D;1.690,28;1.690,28;8.800,01D
74456;1.1.20.100.1;HEALTHCARE ALLIANCE SERVICOS E CONSULTORIA EMPR;0,00;77.343,47;77.343,47;0,00
74457;1.1.20.100.1;HOSPITAL ANA NERY SANTA CRUZ DO SUL;6.536,58D;1.663,27;1.663,27;6.536,58D
74458;1.1.20.100.1;HOSPITAL DE CLINICAS DE PORTO ALEGRE;25.151,79D;0,00;0,00;25.151,79D
74459;1.1.20.100.1;HOSPITAL DE PASSO FUNDO HP;23.630,16D;3.869,21;3.869,22;23.630,15D
74460;1.1.20.100.1;HOSPITAL MILITAR DE AREA DE PORTO ALEGRE;2.083,50D;2.083,50;2.083,50;2.083,50D
75854;1.1.20.100.1;HOSPITAL SANTA CASA DE CAMPO BELO;0,00;7.390,68;0,00;7.390,68D
74461;1.1.20.100.1;HOSPITAL SAO RAFAEL LTDA;1.702,40D;0,00;0,00;1.702,40D
74987;1.1.20.100.1;INSTITUICAO ADVENTISTA ESTE BRAS DE PRE;16.757,77D;0,00;5.519,66;11.238,11D
74462;1.1.20.100.1;INSTITUTO ADMINISTRACAO HOSPITALAR E CIENCIAS DA;7.460,80D;0,00;0,00;7.460,80D
75853;1.1.20.100.1;INSTITUTO CIRURGICO GABRIEL DE LUCENA LTDA;0,00;7.038,75;7.038,75;0,00
74463;1.1.20.100.1;INSTITUTO HERMES PARDINI S.A;48.128,11D;19.761,00;40.528,12;27.360,99D
74464;1.1.20.100.1;JA LABORATORIO DE ANALISES CLINICAS LTDA;2.634,77D;321,50;321,50;2.634,77D
74465;1.1.20.100.1;LABCLIN LABORATORIO E CLINICA LTDA;1.386,36D;726,61;0,00;2.112,97D
74466;1.1.20.100.1;LABINBRAZ COMERCIAL LTDA;41.729,67D;14.586,79;13.563,66;42.752,80D
74369;1.1.20.100.1;LABORATORIO ANDRADAS LTDA;2.494,17D;0,00;0,00;2.494,17D
74370;1.1.20.100.1;LABORATORIO CENTRAL MERCOSUL LTDA;2.400,00D;0,00;0,00;2.400,00D
74467;1.1.20.100.1;LABORATORIO DE ANALISES CLINICAS UNIMED VARGINHA;12.522,59D;3.068,74;0,00;15.591,33D
74371;1.1.20.100.1;LABORATORIO FLEMING LTDA;6.098,69D;0,00;0,00;6.098,69D
74468;1.1.20.100.1;LABORATORIO IBERLEO LTDA;2.878,08D;710,18;710,18;2.878,08D
74469;1.1.20.100.1;LABORATORIO PEREIRA LTDA;4.748,83D;0,00;0,00;4.748,83D
74470;1.1.20.100.1;MUNICIPIO DE CAXIAS DO SUL;9.366,68D;4.427,66;4.427,66;9.366,68D
74472;1.1.20.100.1;MV SISTEMAS LTDA;0,00;5.995,91;5.995,91;0,00
74473;1.1.20.100.1;PASIN LABORATORIO DE ANALISES CLINICAS LTDA;191,40D;0,00;0,00;191,40D
74372;1.1.20.100.1;PIO SODALICIO DAS DAMAS DE CARIDADE DE CAXIAS DO SUL;12.254,29D;0,00;0,00;12.254,29D
74474;1.1.20.100.1;PRO ANALISE LABORATORIO DE ANALISES CLINICAS LTDA;1.255,06D;311,90;311,91;1.255,05D
74475;1.1.20.100.1;PRO SAUDE - ASSOCIACAO BENEFICENTE DE ASSISTENCIA;6.595,80D;0,00;0,00;6.595,80D
74476;1.1.20.100.1;PRONTOCLINICA DA CRIANCA LTDA;5.539,50D;682,74;4.737,05;1.485,19D
74477;1.1.20.100.1;PRONTOLAB LTDA;10.382,44D;2.628,32;2.628,32;10.382,44D
74497;1.1.20.100.1;QUIBASA QUIMICA BASICA LTDA;7.310,01D;1.227,72;0,00;8.537,73D
74478;1.1.20.100.1;REAL HOSPITAL PORTUGUES DE BENEFICENCIA EM PERN;46.962,86D;10.969,62;0,00;57.932,48D
74479;1.1.20.100.1;ROCHE DIAGNOSTICA BRASIL LTDA;21.640,51D;8.807,46;8.807,47;21.640,50D
74480;1.1.20.100.1;SANTA CASA DE BRAGANCA PAULISTA;12.442,87D;7.126,11;7.126,10;12.442,88D
